	Men's Fashion	Mobiles	Home+%26+Kitchen	Men%27s+Fashion	Electronics	Home & Kitchen	Women's Fashion	Kids & Toys	null	Women%27s+Fashion
T72	0	1	0	0	1	0	0	0	0	0
T73	1	1	0	0	1	0	0	0	0	0
T70	0	0	0	0	1	0	0	0	0	0
T71	0	1	0	0	0	0	0	0	0	0
T76	0	0	0	0	0	0	1	0	0	0
T77	0	1	0	0	0	0	0	0	0	0
T74	0	0	0	0	0	0	0	0	1	0
T75	0	1	0	0	1	0	0	0	1	0
T78	0	1	0	0	0	0	1	0	1	0
T79	0	0	0	0	0	0	1	0	1	0
T89	0	0	0	0	0	1	0	0	1	0
T88	0	1	1	0	1	1	0	0	1	0
T87	1	0	0	0	1	0	0	1	0	0
T86	1	0	0	0	0	0	0	0	1	0
T85	0	1	0	0	0	0	0	0	1	0
T84	0	0	0	0	0	0	0	0	1	0
T83	0	0	0	0	0	0	0	0	1	0
T82	0	1	0	0	0	0	0	0	1	0
T81	0	0	0	0	0	0	0	0	1	0
T80	0	1	0	0	0	0	0	0	1	0
T14	0	1	0	0	0	0	0	0	1	0
T15	0	0	0	0	0	0	0	0	1	0
T16	0	1	0	0	0	0	0	0	0	0
T17	0	1	0	0	0	0	0	0	0	0
T10	0	0	0	0	0	0	1	0	0	0
T11	0	0	0	0	0	0	0	0	1	1
T12	0	0	0	0	0	0	0	0	1	0
T13	0	1	0	0	0	0	0	0	0	0
T18	0	0	0	0	0	0	0	0	1	0
T19	0	1	0	0	0	1	0	0	1	0
T94	0	0	1	0	0	1	0	0	0	0
T95	1	1	0	0	0	1	0	0	1	0
T96	1	0	0	0	0	0	0	0	0	0
T97	0	1	0	0	1	0	1	0	1	0
T90	0	1	0	0	0	0	0	0	1	0
T91	0	0	0	0	0	0	0	0	1	0
T92	0	0	0	0	1	0	0	0	0	0
T93	0	1	0	1	0	1	0	0	1	0
T29	0	1	0	0	1	0	0	1	1	0
T28	0	0	0	1	0	0	0	0	0	0
T21	1	1	0	0	0	1	0	0	1	0
T20	0	0	0	0	0	0	0	0	1	0
T23	0	0	0	0	1	1	0	0	0	0
T22	1	1	0	0	0	1	0	0	1	0
T25	1	1	0	0	1	0	0	0	1	0
T24	0	0	0	0	1	0	0	0	1	0
T27	0	1	0	1	0	0	0	0	0	0
T26	0	1	0	0	0	0	0	0	1	0
T38	0	1	0	0	0	1	0	0	1	0
T39	0	1	0	0	0	0	0	0	0	0
T36	0	1	0	0	0	0	0	0	0	0
T37	0	0	0	0	0	0	0	0	1	0
T34	0	1	0	0	0	0	0	0	0	0
T35	0	1	0	0	0	0	0	0	0	0
T32	1	0	0	0	0	0	1	0	1	0
T33	0	1	0	0	0	1	0	0	0	0
T30	0	0	0	0	0	0	0	0	1	0
T31	0	0	0	0	0	0	0	0	1	0
T49	0	0	0	0	0	0	0	0	1	0
T48	1	1	0	0	1	0	1	0	1	0
T43	0	1	0	0	0	1	0	0	0	0
T42	0	1	0	0	0	0	0	0	1	0
T41	0	0	0	0	0	0	0	0	1	0
T40	0	0	0	0	0	0	0	0	1	0
T47	1	0	0	0	0	0	0	0	0	0
T46	0	1	0	1	1	0	0	0	1	0
T45	1	1	0	0	1	0	0	0	1	0
T44	0	1	0	0	0	0	0	0	0	0
T58	1	0	0	0	1	0	0	0	1	0
T59	0	1	0	0	0	0	0	0	0	0
T50	0	1	0	0	0	0	1	0	0	0
T51	0	0	0	0	0	0	0	0	1	0
T52	1	0	0	0	0	0	0	0	1	0
T53	0	0	0	0	0	0	0	0	1	0
T54	0	1	0	0	0	1	0	0	1	0
T55	0	0	0	0	0	0	0	0	1	0
T56	0	0	0	0	0	0	0	0	1	0
T57	0	1	0	0	1	0	0	0	1	0
T8	0	1	0	0	0	0	1	0	1	0
T9	1	0	0	0	1	0	1	0	1	0
T6	0	0	0	0	0	0	0	0	1	0
T7	1	0	0	0	0	0	0	0	1	0
T4	0	1	0	0	0	0	0	0	1	0
T5	1	1	0	0	1	1	1	1	1	0
T2	0	0	0	0	0	1	0	0	0	0
T3	0	0	0	0	0	0	0	0	1	0
T1	1	0	0	0	0	0	1	0	1	0
T69	0	1	0	0	0	0	0	0	1	0
T68	1	1	0	0	0	0	0	0	0	0
T65	0	1	0	0	0	0	0	0	1	0
T64	0	1	0	0	0	0	0	0	0	0
T67	0	1	0	0	1	1	0	0	1	0
T66	0	1	0	0	0	0	0	0	1	0
T61	0	1	0	0	0	0	0	0	0	0
T60	0	0	0	0	0	0	0	0	1	0
T63	0	1	0	0	0	0	0	0	0	0
T62	0	1	0	0	0	0	0	0	0	0
